id,name,memberType,partyName,color,voteType,reference,bio
c1032,ยอดชาย พึ่งพร,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c1255,เพชรรัตน์ ใหม่ชมภู,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c1276,การณิก จันทดา,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c1288,ณัฐพล โตวิจักษณ์ชัยกุล,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c1304,พุธิตา ชัยอนันต์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c1329,อรพรรณ จันตาเรือง,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c1346,สมดุลย์ อุตเจริญ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c1365,ภัทรพงษ์ ลีลาภัทร์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c4422,ณัฐพงษ์ พิพัฒน์ไชยศิริ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c704,วีรนันท์ ฮวดศรี,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c718,อิทธิพล ชลธราศิริ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c737,ชัชวาล อภิรักษ์มั่นคง,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c1636,ฉัตร สุภัทรวณิชย์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c1648,ปิยชาติ รุจิพรวศิน,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c1672,ศุทธสิทธิ์ พจน์ฐศักดิ์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c33,ปารเมศ วิทยารักษ์สรรค์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c56,ธิษะณา ชุณหะวัณ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c62,จรยุทธ จตุรพรประสิทธิ์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c77,ภัณฑิล น่วมเจิม,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c102,เฉลิมชัย กุลาเลิศ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c107,กัณตภณ ดวงอัมพร,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c127,ภัสริน รามวงศ์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c140,ชยพล สท้อนดี,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c164,ศุภณัฐ มีนชัยนันท์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c171,เอกราช อุดมอำนวย,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c184,ศศินันท์ ธรรมนิฐินันท์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c199,ภูริวรรธก์ ใจสำราญ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c217,ธนเดช เพ็งสุข,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c235,สิริลภัส กองตระการ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c247,วิทวัส ติชะวาณิชย์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c265,พิมพ์กาญจน์ กีรติวิราปกรณ์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c280,วีรวุธ รักเที่ยง,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c299,ธีรัจชัย พันธุมาศ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c312,กันต์พงษ์ ประยูรศักดิ์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c346,ณัฐพงศ์ เปรมพูลสวัสดิ์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c362,สุภกร ตันติไพบูลย์ธนะ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c379,ปิยรัฐ จงเทพ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c394,เท่าพิภพ ลิ้มจิตรกร,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c408,แอนศิริ วลัยกนก,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c426,ไชยามพวาน มั่นเพียรจิตต์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c428,ณัฐชา บุญไชยอินสวัสดิ์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c446,รักชนก ศรีนอก,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c461,ทิสรัตน์ เลาหพล,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
